FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,103.14675,84
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,209.41616666666667,12
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,6.683428571428571,42
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,256.804875,42
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,12.3024,99
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,6.9799999999999995,57
OFF-AR-10002833,Newell 322,Office Supplies,Art,1.6986666666666668,72
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,151.192,86
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,5.8596,82
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,21.666857142857143,100
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,160.61299999999997,73
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,256.33799999999997,45
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,5.9616,14
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,115.21544444444446,48
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,54.3599,50
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2.12,93
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,110.97999999999999,48
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,26.3625,28
OFF-AR-10003056,Newell 341,Office Supplies,Art,4.1577142857142855,25
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,71.16,75
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,6.288571428571428,51
OFF-AR-10000246,Newell 318,Office Supplies,Art,2.6688,19
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,8.428444444444445,24
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,40.05571428571428,60
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,5.096,37
